ResponseId,news,hs,surv,esc,pt,ent,algo_app,trust,polef,eo,pid,gender,age
R_1kTU28KWkm8wugD,3,2,2,2,2,2,3,5,3,2,Republican,Female,34
R_2veauQS7w3z5P60,4,6,6,4,5,4,0,4,4,1,Other,Male,29
R_ULVB74uVxfpAsj7,5,6,4,5,4,5,2,5,4,0,Democrat,Male,25
R_3p5ZNlZyEnHIO4U,4,5,5,5,5,5,3,5,4,2,Democrat,Male,25
R_1E9SwN7jJs3dXDr,4,2,3,1,2,3,1,5,4,6,Republican,Female,47
R_2tndjiCetgTXDms,4,4,5,3,4,4,1,4,4,1,Other,Male,40
R_1kZlGK5eZ0m3agi,5,5,5,4,5,5,0,5,5,0,Democrat,Male,25
R_1N34Q8EiSxSDZmc,4,5,5,4,5,4,0,5,5,5,Other,Male,29
R_yD3jaWrdmnDALtL,4,6,6,6,5,6,1,6,6,2,Republican,Male,62
R_2SiDMlCtk2pL0ta,6,5,5,5,5,6,3,5,5,5,Republican,Male,25
R_3kAGn0PBjscB1pn,2,6,5,5,5,6,0,3,4,0,Democrat,Female,37
R_T120tHojauXTtvP,7,6,5,6,3,7,2,6,6,5,Republican,Female,25
R_3KSDRHHiaWwYkLs,4,6,6,5,5,2,0,5,5,2,Republican,Male,32
R_23158gYBMWYtPFz,4,3,5,2,1,2,3,3,5,1,Democrat,Male,34
R_2uIledGUktWEz9o,5,5,5,4,4,5,3,4,5,4,Democrat,Male,33
R_9ZELGijm7nxfhzH,5,4,4,5,4,5,2,5,6,1,Democrat,Female,31
R_2qmgh8YiXsYbhdJ,4,5,5,6,6,5,0,5,5,2,Other,Male,24
R_1gi3ftCQh0R9FSu,6,6,6,6,6,6,2,6,6,2,Democrat,Male,38.7429718875502
R_2xz4sEJGtoCfWMQ,4,4,3,2,2,2,4,4,4,2,Republican,Male,39
R_3RsABiwnILLkei5,7,7,7,6,7,6,1,6,7,6,Republican,Female,39
R_3k1vqcvDUjCXARo,6,6,7,7,7,6,0,7,6,6,Republican,Male,31
R_10A7FbUTAVUIurN,5,4,5,3,4,4,3,5,4,5,Republican,Female,42
R_2YSytjne62xyPlt,6,6,6,6,6,6,2,6,6,6,Democrat,Male,35
R_REuAAJA1WQNon0R,6,6,6,6,6,6,2,6,7,6,Democrat,Male,30
R_31XX5gKXs5a0NQW,6,6,6,6,6,6,3,6,6,2,Republican,Male,35
R_10u6ADeuDrrZf9g,5,5,5,1,3,1,4,5,5,1,Democrat,Male,43
R_2ykdwEV7um7eQ79,7,6,6,7,6,6,3,7,7,1,Republican,Female,36
R_1BRXQqdNuWuxiWh,5,4,5,4,4,4,1,5,5,4,Democrat,Female,29
R_2abrnnxZC9JSyep,5,6,5,5,4,6,3,3,5,1,Republican,Female,25
R_33D5llArECYIabI,4,5,5,5,6,4,2,5,6,1,Democrat,Female,32
R_1DT15IcgtcrsFBC,6,6,6,6,5,6,1,5,6,6,Democrat,Female,56
R_3ebtA04IVvSBHWN,6,6,6,6,6,6,3,6,6,4,Democrat,Male,30
R_ergLls7z4fZk1ax,6,5,5,5,4,4,4,5,4,4,Other,Male,35
R_2CQIezmoHznc8N3,3,2,4,2,4,2,2,5,6,1,Democrat,Male,25
R_1MM9s6lRgXe6N3X,4,3,4,3,4,5,0,4,3,3,Democrat,Male,29
R_3oBjgwk3exvifIr,3,4,4,3,3,6,4,5,4,2,Democrat,Male,27
R_3Kw1eYtyxZUBkti,4,3,5,1,3,2,4,2,4,2,Democrat,Male,38.7429718875502
R_3PbKg0gFAALlUp1,3,4,5,2,3,2,4,4,4,-1,Democrat,Female,39
R_24l09ZC7bT74kfp,7,6,6,6,6,7,0,6,6,2,Republican,Male,30
R_30wz7qlfGqhHoIX,6,6,6,6,6,6,3,6,7,1,Republican,Female,36
R_1gLqeougDNltMte,5,7,6,4,4,4,4,5,5,1,Democrat,Male,62
R_1mh0WbDvjI6fqOb,4,4,4,4,4,2,3,4,4,1,Other,Male,33
R_3PMJRfmRr2madaI,3,4,5,3,4,5,3,4,4,0,Republican,Female,46
R_ROlYUPSn7b9EcBb,3,4,4,2,3,4,3,5,4,3,Democrat,Female,60
R_22mDZ1d62XMXABL,6,7,6,6,6,6,1,6,6,5,Democrat,Female,24
R_R34wvFC0vwLhap3,6,5,3,2,6,2,1,3,5,2,Democrat,Male,38.7429718875502
R_1d5YxbwqrJqkiLi,4,5,6,3,4,4,4,4,4,-1,Democrat,Female,61
R_2anICzWTkTbNByz,4,4,6,4,5,4,2,5,7,5,Democrat,Male,31
R_diLSlaZk8J0FdS1,5,5,4,4,4,4,3,5,5,0,Democrat,Female,31
R_2bWzNSi7GAUVaFP,3,6,6,2,2,2,4,4,5,1,Other,Female,73
R_YQWmgHDcNLESKHf,3,5,5,4,4,6,1,5,5,4,Other,Male,35
R_20UPA1TfKixN1Yx,5,5,5,5,5,5,2,5,5,1,Republican,Female,28
R_2zGc6MVl4giiEzS,7,6,6,7,7,6,2,6,7,2,Republican,Female,36
R_3CEobBlXGlB8ZOP,4,4,5,5,5,4,4,5,4,0,Democrat,Male,25
R_2atwAh4nI2vnJRR,6,6,6,4,5,7,0,5,7,2,Republican,Female,41
R_2CfjFzsTumh45FK,5,5,6,6,5,6,0,5,6,5,Democrat,Male,50
R_DoCdOD8uAA1I4tr,6,6,6,3,2,4,4,6,5,1,Democrat,Female,69
R_2DYz1KnwzKNO3BN,6,6,6,6,6,5,1,6,6,2,Democrat,Male,36
R_3qerACtZ9gw924O,7,7,6,4,5,6,3,4,5,7,Democrat,Female,58
R_3JnkH31BUckeD9p,2,6,5,2,1,4,2,5,5,-1,Other,Male,52
R_3Db2dYbKAW4UCat,4,5,5,4,5,4,0,4,5,2,Other,Male,37
R_PuQbWoNXXKFnfAl,4,6,5,5,5,6,3,6,6,1,Republican,Female,44
R_aW2UjuDUJE9VNHH,3,6,5,3,5,4,4,6,6,1,Democrat,Female,58
R_3jSCNxPTOzQfhm5,3,6,5,3,5,6,4,5,6,6,Democrat,Male,41
R_2at6vqfg2NPSjEp,2,4,5,5,5,4,1,5,4,2,Republican,Male,32
R_1nZpXG61df2ngWe,3,7,6,2,1,4,0,5,5,2,Republican,Female,53
R_1ltspmNBIl4YfS2,6,7,6,3,3,4,4,5,6,1,Other,Male,49
R_r0zY64iN7rzFytb,5,6,5,4,3,4,0,4,5,2,Other,Male,45
R_1ohFq8aQSPWKFdJ,4,3,3,3,5,6,1,6,6,0,Democrat,Female,23
R_3oAPGPk8xPBQ2fK,4,6,6,3,6,4,3,4,5,0,Democrat,Female,39
R_3lzgMvm0VE8Yir9,4,3,5,3,3,4,3,4,4,5,Other,Male,27
R_bHF3zQHylynb6G5,4,6,6,4,3,4,2,5,5,-2,Republican,Female,29
R_3JKNPAM5xgNTC0b,4,4,4,4,4,5,4,6,5,4,Republican,Male,61
R_2B4k2yBoPRbJcWf,5,3,4,3,1,4,4,5,4,2,Democrat,Female,68
R_2VJWpdo2RmYsvMT,5,6,6,6,6,6,2,6,6,0,Democrat,Female,26
R_1ohF1l1D6kN1JFt,7,5,6,5,2,3,0,6,6,2,Democrat,Female,30
R_2VmRCwltezRM9au,3,1,2,1,1,2,3,2,1,0,Republican,Female,36
R_1CHr7HwjleXtVCJ,4,6,5,4,6,6,2,4,5,2,Republican,Male,36
R_3GDqNSp3umCTnnD,7,6,7,7,7,6,2,7,7,3,Republican,Female,24
R_3JsdyYuKzJ3CmqN,0,1,3,1,1,1,4,2,4,1,Democrat,Female,34
R_3m2HzQFrpu5vcLY,3,1,1,1,1,1,0,6,4,5,Republican,Female,62
R_26525fAqS2h3rwt,6,6,6,6,6,7,1,6,6,4,Democrat,Female,30
R_2UfqHC0DqbWHpvD,7,7,7,6,6,7,2,7,7,4,Republican,Male,35
R_1mWN4ZwWJSgFgi8,2,5,5,4,5,5,0,5,5,2,Republican,Male,47
R_21b0vs4Ko4iZDMh,6,6,6,6,6,6,3,6,6,0,Republican,Female,35
R_2Qs2Mf2wMwQBQoZ,3,6,5,2,1,1,0,3,5,2,Democrat,Male,38.7429718875502
R_21Gj2x5k1OT82q5,3,4,5,3,4,3,4,4,4,2,Republican,Female,47
R_1gdUIQJ8k2zLx0h,5,7,7,5,6,4,4,5,6,1,Republican,Male,47
R_3h3zDwWmCpHNKnP,3,2,4,3,5,4,0,5,3,2,Other,Male,39
R_2yau0KHWJsuspIN,6,4,4,2,2,4,4,2,6,3,Republican,Female,51
R_28CZGiVEGfhNKuz,6,4,4,2,2,3,3,4,4,6,Other,Female,32
R_265e5n6gdCoEitF,4,7,6,4,4,3,4,5,4,1,Republican,Male,32
R_1gHFA8zlknNdGYG,7,6,6,6,7,6,2,6,7,0,Republican,Male,35
R_2SoAHyaQCj3TBtd,2,3,4,3,4,3,4,3,4,1,Republican,Male,51
R_0ML5h8BEy66yctr,6,6,7,6,6,6,1,6,7,1,Republican,Female,30
R_2B5IiMJ1L1GAXF7,4,6,6,4,4,6,4,5,4,3,Democrat,Female,25
R_XncMrs1CrNgy17r,6,6,6,6,6,6,2,6,6,5,Democrat,Male,30
R_3oXj0rf97pZ5630,6,6,6,6,6,6,1,6,6,5,Republican,Female,35
R_2q4W1BhJigmtR8s,6,6,7,6,6,5,4,6,6,4,Democrat,Female,30
R_2R3xkEg9bgQogKz,3,4,1,1,5,3,0,4,4,-3,Other,Male,42
R_3kiFLYWj3mZgJno,6,6,6,6,6,6,2,6,6,5,Democrat,Female,30
R_Z3OHL519oCb7Tq1,1,2,3,1,1,2,2,4,5,0,Democrat,Male,24
R_2UaXHjpt3a5V8s9,5,5,5,6,5,6,3,6,6,5,Other,Male,25
R_2c7mD4x94GTdVwW,5,6,6,5,6,5,2,5,5,2,Democrat,Female,37
R_ZqwUTeSVdiboNK9,7,6,7,7,7,6,2,7,7,7,Republican,Male,35
R_2xyLqpCRvk3s12P,4,5,5,4,3,4,4,5,5,2,Other,Male,32
R_a00CA8x2nJAgdhL,1,3,3,3,3,2,3,4,4,4,Other,Male,31
R_1LdvjT6UCGu5RC5,2,1,2,1,3,2,0,5,3,4,Republican,Male,29
R_3soTGbacYTraphs,4,7,7,5,6,6,0,6,5,2,Other,Male,36
R_33lu13UcIu5lX6o,4,6,6,5,6,5,4,4,4,3,Democrat,Male,35
R_51I2UJsWx8auJfr,3,4,5,4,4,4,2,4,5,3,Republican,Female,58
R_2E11xGy5naBzKUG,5,1,1,1,1,1,0,1,4,3,Republican,Male,38
R_3O9yudWhSTcA6r6,5,5,4,4,4,4,3,5,4,1,Other,Female,50
R_RJD7Ua4xqYoSffP,4,4,4,3,3,3,4,4,4,3,Democrat,Male,39
R_1OprnLBZrmGHdKv,4,4,4,4,4,4,0,4,4,5,Democrat,Male,65
R_2a9UCIyzPbuRBBO,6,7,7,6,7,6,4,7,7,3,Other,Female,35
R_3e96uXfe0xbNQjM,4,3,5,3,3,3,0,6,4,2,Other,Female,54
R_1diegRaLzdD5NjX,1,4,6,5,5,5,4,3,7,5,Other,Male,67
R_1hDXaJm9BN5cpaW,5,4,5,3,4,3,1,4,4,3,Other,Male,38
R_3QEOGeuG5DXXiU6,4,5,4,3,4,4,0,4,4,6,Democrat,Male,60
R_DlegbazxnfjRcyd,6,6,6,3,2,4,0,3,5,1,Other,Male,38
R_2q2DDhUXGF77lpw,2,4,4,2,4,4,4,4,4,2,Democrat,Female,43
R_238ebK2XgAOus22,4,6,6,5,6,6,2,7,7,2,Democrat,Male,38.7429718875502
R_1d6Jx62b1YlxMYB,2,2,2,3,4,2,3,6,4,-2,Democrat,Female,37
R_2QupSo6PHxxOvEN,7,6,6,7,7,6,1,6,7,7,Republican,Male,30
R_3e3Hj2r8U0AVnOS,5,6,5,5,6,6,1,6,7,5,Democrat,Male,32
R_2ymCwZjjXWTAqY7,5,4,5,3,4,4,1,3,6,3,Democrat,Female,45
R_1dAE48Rdqb5BQiW,7,6,6,5,7,6,4,6,6,2,Republican,Female,22
R_1Q4uqnBuLJgTPLt,5,5,6,5,4,4,0,6,5,2,Other,Female,32
R_1IW5xt3GNDzqAiE,6,6,6,6,6,6,1,6,7,6,Republican,Female,30
R_re975pmhdxxpEo9,2,6,6,3,4,4,3,3,4,0,Other,Female,57
R_qX9kJt3C0kgpYnD,2,3,5,3,4,4,1,3,4,0,Other,Female,33
R_AglbAE7eTH4VCRr,4,4,5,3,4,4,1,4,4,2,Democrat,Male,38.7429718875502
R_22E8AlSh718Gu43,6,6,6,5,5,6,2,6,7,3,Republican,Female,49
R_6rRAQwepUoK9mAV,4,3,4,2,5,2,4,3,5,1,Other,Male,56
R_3PpFplFOwLCAoSV,7,6,5,4,3,4,2,5,5,1,Republican,Male,26
R_2cpgZv9tp220zRZ,6,6,6,6,5,6,2,6,7,-2,Republican,Female,35
R_1pthX1MvFzR6S28,5,5,6,4,4,4,1,5,6,1,Other,Male,33
R_29mqfPxADDkrUK4,4,4,4,2,6,2,3,6,4,0,Republican,Male,33
R_1CxobHSDWOKCsdg,4,4,5,3,3,5,4,4,4,1,Other,Male,61
R_1hNg2qyx5oBO3ad,6,6,6,6,7,6,2,6,6,2,Republican,Male,25
R_3MMNi9JAGv7H1v9,6,6,6,6,6,6,4,6,6,7,Other,Female,35
R_1N4APqDIl5rwN7e,7,5,7,6,4,7,3,6,7,2,Other,Male,27
R_1N9b6Zn9ThWdgZz,2,5,6,3,3,3,3,6,6,5,Democrat,Female,43
R_2duss5eZSGjZGlL,6,6,5,5,6,6,3,6,5,5,Democrat,Female,48
R_2Ejn1H814X4Yger,5,5,5,3,4,4,0,5,7,3,Republican,Male,46
R_2fAKjIeb7Eeuj6l,2,7,5,2,2,2,4,5,6,4,Democrat,Female,41
R_Bx4y76KbCvQgAgh,4,3,4,4,4,4,3,3,4,2,Democrat,Male,32
R_1Cyk7WH9XPISpNd,6,6,5,6,6,6,2,5,6,5,Democrat,Male,51
R_1Owxx2F4437diHU,7,4,6,5,6,6,1,5,6,5,Republican,Male,28
R_1gknwjxnAJ0xWne,5,6,5,5,5,6,2,5,6,6,Other,Male,48
R_1GDBSzY7rPyEEwn,4,3,4,3,2,4,3,6,4,1,Democrat,Female,33
R_1EbrXik9TAm7VkM,4,4,5,4,5,4,3,5,6,4,Democrat,Male,25
R_33ruRl2q70RF4fE,2,3,5,4,3,4,0,5,5,1,Other,Male,47
R_2QGPBl4vTNaYiXf,5,5,5,6,5,6,2,5,5,4,Democrat,Female,42
R_0OmJ9uASrQz58ch,6,6,7,6,6,6,3,6,6,7,Democrat,Female,25
R_eD5gXWCQFqmyDHb,6,6,5,6,6,6,3,6,6,7,Democrat,Female,46
R_1jUORdx9v9WQmSu,6,6,5,6,5,6,1,6,6,7,Democrat,Female,49
R_1kMP7ZYcbqBACOK,5,6,5,5,5,5,3,5,6,4,Democrat,Female,65
R_YWFccWVXw0a5MUp,1,4,5,3,4,4,0,4,4,0,Democrat,Female,27
R_u20mkKMq1SE2DbH,3,4,5,5,4,4,1,5,5,3,Democrat,Male,25
R_2bNoMUI6NbMWokg,4,4,3,2,1,3,4,3,5,0,Other,Male,64
R_3G9hau7yQYonOh9,5,5,5,4,4,5,4,5,4,1,Other,Male,54
R_2whoEfC5Cxht2JU,3,2,3,3,4,4,0,5,4,3,Other,Female,38
R_3I6SNOgJXiYthyp,5,6,6,3,2,4,4,4,4,2,Other,Male,60
R_31ZTOK4l6B9KsU1,1,2,4,3,5,6,4,5,3,0,Other,Male,53
R_ZwajMRGqlVQFXTb,3,4,5,2,2,1,1,5,3,5,Other,Male,32
R_2xwPjiMH4SON0Wd,4,6,4,5,4,5,2,5,4,5,Democrat,Male,27
R_216uSnsIkS2TJaJ,5,4,6,3,4,1,0,5,5,4,Other,Male,46
R_1FJQl6STaOeetau,6,6,6,6,6,6,2,6,6,2,Democrat,Female,36
R_1DVbZCDMmViDEIP,5,6,6,6,5,6,2,5,6,4,Democrat,Male,28
R_2BeuSqOGFlgTpZs,5,5,4,5,5,6,1,4,5,5,Democrat,Male,27
R_1GxM4xHmfVJG6Sk,6,5,4,5,5,2,3,4,6,5,Republican,Female,29
R_D34ZcgdBHbYbx6x,4,6,5,6,5,6,3,5,6,1,Democrat,Male,32
R_pQTUUO58SJCvgo9,5,4,6,4,3,4,4,6,4,4,Other,Female,57
R_3PoXllKD6AF2Qej,3,2,2,2,1,2,2,2,4,-1,Republican,Female,59
R_7UrIp9wOHGRoggN,3,2,2,1,1,1,2,4,4,3,Republican,Male,68
R_w6jswSBfoibxglz,3,6,5,2,2,2,4,5,4,-3,Republican,Female,52
R_1pXNI5UQyirwl0A,3,3,2,3,4,3,4,5,4,2,Democrat,Male,52
R_263B9RVZ3IYOd62,6,6,6,6,6,6,3,7,5,4,Democrat,Male,40
R_1gjyVziT5QYKIHx,1,3,3,2,4,2,3,4,4,-1,Democrat,Female,46
R_1FP4oWlSSkYq0RC,5,3,4,2,1,1,4,4,5,0,Other,Female,60
R_3Dcs9E3U0RXApZ4,5,5,5,5,5,6,2,4,4,5,Democrat,Male,41
R_3koC43JvMPBAKau,6,7,7,6,6,6,1,6,6,6,Republican,Female,24
R_cZLMBch02OF1RjH,5,5,5,5,5,5,2,5,5,4,Other,Male,24
R_3j1ekTtFMcvMshE,2,3,4,2,1,1,4,5,4,3,Democrat,Female,74
R_3I04YmT8vymShTT,5,6,6,5,5,4,2,6,6,4,Democrat,Male,28
R_1Lo2wvKzsLDgZwZ,6,5,4,5,6,4,3,5,5,4,Democrat,Male,28
R_2OVy0WqdB2gIQVK,4,5,4,4,4,4,2,4,4,4,Other,Male,22
R_1DoFTvrOIgsQQc4,1,1,2,1,3,1,3,5,3,-1,Democrat,Male,40
R_2t2RfcNfbuUy541,4,5,6,4,4,6,1,6,6,4,Democrat,Female,38
R_1Ov6igEJNeTOOHc,6,5,6,7,6,6,2,5,5,6,Democrat,Female,24
R_12kTwLXdfibyOPX,4,4,5,4,5,4,4,4,4,0,Democrat,Male,33
R_3feMgN1pybL6rV8,3,6,7,6,7,7,4,6,4,4,Democrat,Female,51
R_WBt9tSuIxNMObaV,2,2,2,3,2,3,1,4,4,-2,Other,Male,40
R_3FPbz2l4Q3jZeJE,5,5,6,5,5,6,1,5,5,2,Democrat,Male,34
R_OuQuUzatj1I2UUx,1,2,4,2,2,1,3,2,4,1,Democrat,Male,25
R_pGagUi3xXZwPNHH,2,2,5,3,4,3,3,5,4,3,Other,Male,28
R_2EHk3X19DwnZr4Q,6,6,6,6,6,6,4,6,7,6,Republican,Male,43
R_1OBK39pEANAbWO8,5,6,5,3,5,4,1,5,5,4,Democrat,Male,38
R_1N32ixEqw2UPKGL,4,4,5,4,4,4,1,4,6,2,Democrat,Male,38.7429718875502
R_3244hmp5wlIDQVV,5,7,5,5,5,6,3,5,5,0,Democrat,Male,58
R_QiRYo54XJbUN7Rn,3,4,4,4,4,4,3,4,4,-1,Democrat,Female,25
R_3G9YHGuov0KRmaM,6,5,5,6,6,5,1,5,5,4,Democrat,Male,28
R_3POfp4YyIzOk0QA,2,6,5,2,3,3,3,4,6,0,Democrat,Female,36
R_3PoBUAtsdUqFl8W,4,4,3,4,4,4,3,4,4,2,Democrat,Male,24
R_42bXI1wyjOemGBj,4,5,6,4,2,6,1,4,4,0,Other,Male,56
R_6YHSBYzuZSrugEN,6,6,6,7,6,6,2,6,6,4,Democrat,Male,35
R_26nbLktvR5MFZZN,4,3,5,3,2,2,2,5,4,3,Other,Male,25
R_30uXvNqriNtuMs8,6,6,6,6,6,6,3,6,6,6,Democrat,Female,29
R_ZCt7UjmIYQ9HaiB,1,3,4,2,5,2,1,4,5,2,Other,Female,53
R_3n7xpjGD9eTCuiz,3,3,5,3,3,3,2,6,4,5,Democrat,Female,37
R_0CyLhdzoTYZTO13,5,6,5,2,2,4,2,4,4,1,Other,Female,71
R_1pJrI5AYsLy9O4I,4,3,5,3,5,4,0,6,5,2,Democrat,Female,35
R_2OYZxCVX2TxerY7,5,4,3,4,4,1,2,4,6,-1,Democrat,Male,28
R_1kGlAgWkbwFPk6K,4,1,2,4,6,6,4,4,5,3,Other,Male,30
R_5tG7ERPIwvcG3w5,5,5,6,5,5,6,2,5,5,4,Democrat,Female,26
R_1oiooB2EF7E0zKa,3,6,4,4,4,4,4,6,5,1,Other,Male,64
R_2xyQcdemlqQFany,4,4,4,4,5,3,3,5,5,7,Democrat,Male,27
R_24MGMejbsEO5fVo,3,4,5,4,4,4,1,5,4,4,Democrat,Female,48
R_uxGGdU5Wc9OzO6Z,4,7,6,3,4,2,4,6,4,-1,Other,Female,44
R_2wd9aUm4G7ah0CW,5,6,7,5,5,7,1,6,7,2,Democrat,Male,38.7429718875502
R_2tzHaE8AcjnaWvd,7,6,7,7,7,6,1,6,5,3,Democrat,Female,30
R_11cjXFooBnyiqlA,2,2,3,2,1,1,3,5,4,-6,Democrat,Male,38
R_9zDAvdkalIRtuA9,3,6,7,6,5,7,2,6,4,1,Republican,Female,38
R_80QnxpNurta4z0R,3,4,5,3,6,4,1,5,5,1,Democrat,Male,25
R_V2vvwnPza4ncpLb,6,5,6,4,2,4,2,6,5,3,Democrat,Male,31
R_3fuBWwoHXKaiDkP,5,6,5,4,4,5,2,4,5,2,Republican,Male,52
R_2xwVvPYYSkoJjrn,2,4,4,2,1,1,0,4,5,0,Republican,Female,48
R_2vZbRf8SQD7cJ2h,3,5,5,4,5,4,2,5,4,2,Other,Male,33
R_3ffMtqteFUoXv3W,3,2,3,4,4,2,3,4,5,3,Democrat,Male,24
R_2DUZNINVge3fSz1,5,7,6,5,6,6,0,5,5,5,Democrat,Male,38.7429718875502
R_2wgJj976S6UedSv,3,2,4,2,2,2,3,4,4,5,Democrat,Male,38.7429718875502
R_vP6FggGZx1lDx4J,5,6,5,6,5,6,0,5,6,1,Democrat,Male,38.7429718875502
R_12DMsALkiYxW1Hl,7,6,7,6,6,7,0,6,7,6,Democrat,Male,38.7429718875502
R_QgYMosGGb7g16il,6,5,5,4,4,5,0,6,4,-1,Democrat,Male,38.7429718875502
R_3jTzE2fvnnZbeT6,4,3,3,3,3,3,0,3,3,-2,Democrat,Male,38.7429718875502
R_5u5gaLA1E6lpbot,7,6,6,6,6,6,1,6,6,4,Democrat,Male,38.7429718875502
R_3qUQvC9uc6BvOV0,7,7,6,6,6,6,1,7,7,6,Democrat,Male,38.7429718875502
